type,time,longitude,latitude,altitude (ft)
,12/1/15 22:56,-86.80300459,36.1453153,146
,12/1/15 22:56,-86.80297916,36.1453933,148
,12/1/15 22:56,-86.80296545,36.145435,148
,12/1/15 22:56,-86.80291593,36.1454947,147
,12/1/15 22:56,-86.80291802,36.1455621,146
,12/1/15 22:56,-86.80298535,36.1456456,158
,12/1/15 22:56,-86.80295721,36.1456923,157
,12/1/15 22:56,-86.80294773,36.1457419,157
,12/1/15 22:57,-86.8029488,36.1457596,158
,12/1/15 22:57,-86.80293025,36.1458069,158
,12/1/15 22:57,-86.80289219,36.1458529,155
,12/1/15 22:57,-86.8028389,36.1459191,153
,12/1/15 22:57,-86.80281673,36.1459756,149
,12/1/15 22:57,-86.80279769,36.1460025,148
,12/1/15 22:57,-86.80279044,36.1460272,148
,12/1/15 22:57,-86.80275942,36.146063,147
,12/1/15 22:57,-86.80265707,36.1461904,147
,12/1/15 22:57,-86.802574,36.1462915,148
,12/1/15 22:57,-86.8025328,36.1463528,151
,12/1/15 22:58,-86.8024969,36.1464195,152
,12/1/15 22:58,-86.80246562,36.1464575,151
,12/1/15 22:58,-86.80242764,36.1464882,149
,12/1/15 22:58,-86.80235718,36.1465595,147
,12/1/15 22:58,-86.80228527,36.1466064,150
,12/1/15 22:58,-86.8021977,36.1466689,148
,12/1/15 22:58,-86.80212426,36.1467175,141
,12/1/15 22:58,-86.8020752,36.1467757,137
,12/1/15 22:58,-86.80201987,36.1468135,137
,12/1/15 22:58,-86.80197396,36.146824,132
,12/1/15 22:58,-86.80188723,36.1468361,131
,12/1/15 22:58,-86.80180935,36.1468557,138
,12/1/15 22:59,-86.80172492,36.1468712,140
,12/1/15 22:59,-86.80163097,36.1469193,136
,12/1/15 22:59,-86.80156442,36.1469796,133
,12/1/15 22:59,-86.80151205,36.1470241,128
,12/1/15 22:59,-86.80148108,36.1470664,125
,12/1/15 22:59,-86.8014307,36.1471068,127
,12/1/15 22:59,-86.80136696,36.1471204,130
,12/1/15 22:59,-86.80130142,36.1471409,124
,12/1/15 22:59,-86.80116729,36.1471889,125
,12/1/15 22:59,-86.80103154,36.1472473,130
,12/1/15 22:59,-86.80093942,36.147289,131
,12/1/15 22:59,-86.80088127,36.1472572,131
,12/1/15 23:00,-86.80082566,36.1472744,132
,12/1/15 23:00,-86.80076825,36.1472876,131
,12/1/15 23:00,-86.80069642,36.1473132,129
,12/1/15 23:00,-86.80058098,36.1473539,130
,12/1/15 23:00,-86.80052048,36.1473483,129
,12/1/15 23:00,-86.80048093,36.147334,126
,12/1/15 23:00,-86.80038493,36.1472929,123
,12/1/15 23:00,-86.80036161,36.1472923,122
,12/1/15 23:00,-86.80031034,36.1472602,121
,12/1/15 23:00,-86.80030481,36.1472517,122
,12/1/15 23:01,-86.8002987,36.1472442,123
,12/1/15 23:01,-86.8002695,36.1472535,122
